Date_start,Power_kW,Hour,Power-1,Rolling3,temp_C,solarRad_W/m2,Convolution
2018-10-08 21:00:00,152.4827113,21,170.7590955,178.1983412333336,22.760274180299973,0.7367835223620481,0.07367835223620482
2018-10-08 22:00:00,141.8789799,22,152.4827113,155.04026223333358,21.41783472090331,0.5091739778744656,0.05091739778744656
2018-10-08 23:00:00,136.6571013,23,141.8789799,143.67293083333357,20.537148561302015,0.808612217142158,0.08086122171421581
2018-10-09 00:00:00,127.5452534,0,136.6571013,135.3604448666669,19.23875,5.9649375,5.9649375
2018-10-09 01:00:00,127.3480537,1,127.5452534,130.51680280000025,18.468541666666667,8.098208333333334,0.8098208333333334
2018-10-09 02:00:00,126.0730326,2,127.3480537,126.98877990000024,17.723541666666666,4.424666666666667,0.44246666666666673
2018-10-09 03:00:00,126.3196754,3,126.0730326,126.58025390000024,17.3,4.531,0.4531
2018-10-09 04:00:00,121.7670922,4,126.3196754,124.71993340000024,17.1925,5.456583333333334,0.5456583333333334
2018-10-09 05:00:00,127.6233315,5,121.7670922,125.23669970000024,16.504166666666666,6.999666666666666,0.6999666666666666
2018-10-09 06:00:00,133.2831347,6,127.6233315,127.55785280000025,16.1175,4.654583333333334,0.4654583333333334
2018-10-09 07:00:00,211.3942604,7,133.2831347,157.4335755333336,16.059166666666666,11.007,1.1007
2018-10-09 08:00:00,273.7500273,8,211.3942604,206.1424741333336,16.350833333333334,127.70083333333332,12.770083333333332
2018-10-09 09:00:00,313.9472676,9,273.7500273,266.36385176666687,16.651666666666667,314.8333333333333,31.483333333333334
2018-10-09 10:00:00,352.6825957,10,313.9472676,313.45996353333356,16.921666666666667,492.1333333333334,49.21333333333334
2018-10-09 11:00:00,373.1709382,11,352.6825957,346.6002671666669,17.64,628.4666666666667,62.84666666666667
2018-10-09 12:00:00,384.9886027,12,373.1709382,370.2807122000002,19.398333333333333,715.3249999999999,71.5325
2018-10-09 13:00:00,376.8596989,13,384.9886027,378.3397466000003,21.484166666666667,738.1666666666666,62.744166666666665
2018-10-09 14:00:00,373.931102,14,376.8596989,378.59313453333357,22.935000000000002,697.2083333333334,69.72083333333335
2018-10-09 15:00:00,372.8402994,15,373.931102,374.54370010000025,24.4075,603.6750000000001,51.31237500000001
2018-10-09 16:00:00,363.9951388,16,372.8402994,370.2555134000002,24.936666666666667,452.25,45.225
2018-10-09 17:00:00,339.9276122,17,363.9951388,358.92101680000025,23.71083333333333,265.8666666666667,26.58666666666667
2018-10-09 18:00:00,288.0654274,18,339.9276122,330.66272613333354,22.385833333333334,83.97833333333334,8.397833333333335
2018-10-09 19:00:00,218.8414603,19,288.0654274,282.27816663333357,20.785,6.19125,0.619125
2018-10-09 20:00:00,178.2868552,20,218.8414603,228.39791430000022,19.773333333333333,3.6559166666666667,0.3655916666666667
2018-10-09 21:00:00,159.6889954,21,178.2868552,185.60577030000024,19.4325,5.228833333333333,0.5228833333333334
2018-10-09 22:00:00,136.4759372,22,159.6889954,158.15059593333356,19.100833333333334,5.250666666666667,0.5250666666666667
2018-10-09 23:00:00,129.8589614,23,136.4759372,142.0079646666669,18.825,5.777083333333334,0.5777083333333334
2018-10-10 00:00:00,125.1557581,0,129.8589614,130.49688556666692,18.448333333333334,6.367249999999999,6.367249999999999
2018-10-10 01:00:00,122.2884401,1,125.1557581,125.76771986666692,17.631666666666668,8.833166666666667,0.8833166666666667
2018-10-10 02:00:00,120.2481009,2,122.2884401,122.56409970000026,16.77,4.60775,0.46077500000000005
2018-10-10 03:00:00,117.6163535,3,120.2481009,120.05096483333358,16.285833333333333,2.6374166666666667,0.2637416666666667
2018-10-10 04:00:00,122.269541,4,117.6163535,120.04466513333358,16.206666666666667,1.8714166666666667,0.18714166666666668
2018-10-10 05:00:00,128.1337981,5,122.269541,122.67323086666691,16.19,0.9991666666666666,0.09991666666666667
2018-10-10 06:00:00,133.9604479,6,128.1337981,128.12126233333356,16.241666666666667,0.5307499999999999,0.053075
2018-10-10 07:00:00,217.4118102,7,133.9604479,159.8353520666669,16.261666666666667,4.124833333333333,0.4124833333333333
2018-10-10 08:00:00,300.0352392,8,217.4118102,217.13583243333355,16.32,70.61666666666666,7.0616666666666665
2018-10-10 09:00:00,337.56847,9,300.0352392,285.0051731333336,17.279166666666665,234.21666666666667,23.421666666666667
2018-10-10 10:00:00,385.3310773,10,337.56847,340.97826216666687,18.724166666666665,409.10833333333335,40.910833333333336
2018-10-10 11:00:00,403.6156702,11,385.3310773,375.50507250000027,18.904166666666665,366.6333333333334,36.66333333333334
2018-10-10 12:00:00,395.7292094,12,403.6156702,394.8919856333336,19.108333333333334,384.25,38.425000000000004
2018-10-10 13:00:00,380.637419,13,395.7292094,393.3274328666669,18.804166666666667,455.2166666666667,38.69341666666667
2018-10-10 14:00:00,383.1712347,14,380.637419,386.5126210333336,18.894166666666667,643.9833333333333,64.39833333333334
2018-10-10 15:00:00,373.7894542,15,383.1712347,379.1993693000002,18.921666666666667,495.45000000000005,42.11325000000001
2018-10-10 16:00:00,371.2052409,16,373.7894542,376.0553099333336,19.0575,407.7916666666667,40.77916666666667
