Date,Civil (kWh),temp_C,solarRad_W/m2,Power-1,Rolling3,DayOfWeek,Hour,CyclicHour,WorkDay,LunchTime,Holidays,Classes,Convolution
2019-03-25 06:00:00,122.083,11.5641666666666,15.1489166666666,111.965,109.84633333333318,0,6,1.2246467991473532e-16,1.0,1.0,1.0,0.1,1.51489166666666
2019-03-25 07:00:00,197.025,12.6225,139.115,122.083,143.69099999999983,0,7,0.25881904510252035,1.0,1.0,1.0,0.1,13.911500000000002
2019-03-25 08:00:00,321.341,13.7625,339.641666666666,197.025,213.48299999999983,0,8,0.4999999999999997,1.0,1.0,1.0,0.1,33.96416666666661
2019-03-25 09:00:00,363.327,15.0466666666666,533.216666666666,321.341,293.8976666666665,0,9,0.7071067811865475,1.0,1.0,1.0,0.1,53.3216666666666
2019-03-25 10:00:00,341.025,15.8925,689.675,363.327,341.8976666666665,0,10,0.8660254037844388,1.0,1.0,1.0,0.1,68.9675
2019-03-25 11:00:00,328.538,17.3233333333333,791.833333333333,341.025,344.29666666666645,0,11,0.9659258262890683,1.0,1.0,1.0,0.1,79.18333333333331
2019-03-25 12:00:00,330.076,19.3766666666666,834.166666666666,328.538,333.21299999999985,0,12,1.0,1.0,1.0,1.0,0.1,83.4166666666666
2019-03-25 13:00:00,318.589,21.5383333333333,816.666666666666,330.076,325.73433333333315,0,13,0.9659258262890684,1.0,0.85,1.0,0.1,69.41666666666661
2019-03-25 14:00:00,311.534,22.6775,737.666666666666,318.589,320.0663333333332,0,14,0.866025403784439,1.0,1.0,1.0,0.1,73.7666666666666
2019-03-25 15:00:00,299.946,22.9958333333333,603.883333333333,311.534,310.02299999999985,0,15,0.7071067811865483,1.0,0.85,1.0,0.1,51.330083333333306
2019-03-25 16:00:00,296.438,23.0141666666666,426.508333333333,299.946,302.63933333333324,0,16,0.5000000000000004,1.0,1.0,1.0,0.1,42.6508333333333
2019-03-25 17:00:00,297.826,22.5791666666666,221.483333333333,296.438,298.0699999999999,0,17,0.2588190451025207,1.0,1.0,1.0,0.1,22.1483333333333
2019-03-25 18:00:00,239.608,22.3275,46.2310833333333,297.826,277.9573333333332,0,18,2.4492935982947064e-16,1.0,1.0,1.0,0.1,4.62310833333333
2019-03-25 19:00:00,183.388,21.32,0.91325,239.608,240.27399999999986,0,19,0.25881904510252024,1.0,1.0,1.0,0.1,0.091325
2019-03-25 20:00:00,155.635,20.8925,0.950333333333333,183.388,192.87699999999984,0,20,0.5,1.0,1.0,1.0,0.1,0.0950333333333333
2019-03-25 21:00:00,145.848,20.2016666666666,0.8395,155.635,161.6236666666665,0,21,0.7071067811865474,1.0,1.0,1.0,0.1,0.08395000000000001
2019-03-25 22:00:00,130.703,19.4158333333333,0.872,145.848,144.06199999999984,0,22,0.8660254037844384,1.0,1.0,1.0,0.1,0.0872
2019-03-25 23:00:00,121.777,18.48,0.798166666666666,130.703,132.77599999999987,0,23,0.9659258262890681,1.0,1.0,1.0,0.1,0.0798166666666666
2019-03-26 00:00:00,119.605,17.45,0.844416666666666,121.777,124.0283333333332,1,0,1.0,1.0,1.0,1.0,1.0,0.844416666666666
2019-03-26 01:00:00,103.148,16.595,1.10041666666666,119.605,114.84333333333318,1,1,0.9659258262890683,1.0,1.0,1.0,0.1,0.110041666666666
2019-03-26 02:00:00,101.818,15.695,0.948166666666666,103.148,108.19033333333319,1,2,0.8660254037844387,1.0,1.0,1.0,0.1,0.0948166666666666
2019-03-26 03:00:00,99.548,15.1716666666666,0.923,101.818,101.50466666666652,1,3,0.7071067811865476,1.0,1.0,1.0,0.1,0.09230000000000001
2019-03-26 04:00:00,100.318,14.6266666666666,0.789166666666666,99.548,100.56133333333317,1,4,0.5000000000000003,1.0,1.0,1.0,0.1,0.07891666666666661
2019-03-26 05:00:00,109.15,14.125,0.95975,100.318,103.00533333333318,1,5,0.2588190451025206,1.0,1.0,1.0,0.1,0.095975
2019-03-26 06:00:00,126.083,13.5775,10.1279166666666,109.15,111.8503333333332,1,6,1.2246467991473532e-16,1.0,1.0,1.0,0.1,1.01279166666666
2019-03-26 07:00:00,201.54,13.445,132.233333333333,126.083,145.59099999999987,1,7,0.25881904510252035,1.0,1.0,1.0,0.1,13.2233333333333
2019-03-26 08:00:00,302.554,13.67,321.408333333333,201.54,210.05899999999986,1,8,0.4999999999999997,1.0,1.0,1.0,0.1,32.140833333333305
2019-03-26 09:00:00,293.929,14.2716666666666,516.041666666666,302.554,266.00766666666647,1,9,0.7071067811865475,1.0,1.0,1.0,0.1,51.6041666666666
2019-03-26 10:00:00,314.555,15.3366666666666,698.949999999999,293.929,303.6793333333332,1,10,0.8660254037844388,1.0,1.0,1.0,0.1,69.89499999999991
