Date_start,Hour,Power_kW,temp_C,solarRad_W/m2,Power-1,Rolling3,CyclicHour,DayOfWeek,WorkDay,LunchTime,Holidays,Classes,Convolution
2017-03-25 21:00:00,21,122.8598038,10.603333333333333,0.5515,124.2476468,123.9336163,0.7071067811865474,5,0.33,1.0,1.0,0.1,0.018199500000000004
2017-03-25 22:00:00,22,120.4166656,10.901666666666666,0.38775000000000004,122.8598038,122.50803873333332,0.8660254037844384,5,0.33,1.0,1.0,0.1,0.012795750000000003
2017-03-25 23:00:00,23,119.61794,10.520833333333334,0.27691666666666664,120.4166656,120.96480313333332,0.9659258262890681,5,0.33,1.0,1.0,0.1,0.009138249999999999
2017-03-26 00:00:00,0,115.0140047,11.144166666666665,0.3393333333333333,119.61794,118.34953676666667,1.0,6,0.33,1.0,1.0,1.0,0.11198
2017-03-26 01:00:00,1,101.02914795000001,11.220833333333333,0.3255,115.0140047,111.88703088333334,0.9659258262890683,6,0.33,1.0,1.0,0.1,0.010741500000000001
2017-03-26 02:00:00,2,112.619546,11.04,0.3690833333333334,101.02914795000001,109.55423288333334,0.8660254037844387,6,0.33,1.0,1.0,0.1,0.012179750000000003
2017-03-26 03:00:00,3,115.7403792,10.254166666666666,0.3555,112.619546,109.79635771666669,0.7071067811865476,6,0.33,1.0,1.0,0.1,0.0117315
2017-03-26 04:00:00,4,114.9731521,10.338333333333333,0.3185,115.7403792,114.4443591,0.5000000000000003,6,0.33,1.0,1.0,0.1,0.0105105
2017-03-26 05:00:00,5,109.4803864,10.15,0.42483333333333334,114.9731521,113.39797256666667,0.2588190451025206,6,0.33,1.0,1.0,0.1,0.014019500000000002
2017-03-26 06:00:00,6,109.5922538,9.411666666666667,1.8096666666666668,109.4803864,111.34859743333334,1.2246467991473532e-16,6,0.33,1.0,1.0,0.1,0.059719000000000015
2017-03-26 07:00:00,7,108.46938,9.391666666666667,14.169416666666669,109.5922538,109.1806734,0.25881904510252035,6,0.33,1.0,1.0,0.1,0.4675907500000001
2017-03-26 08:00:00,8,116.7189326,9.320833333333333,17.728916666666667,108.46938,111.59352213333334,0.4999999999999997,6,0.33,1.0,1.0,0.1,0.5850542500000001
2017-03-26 09:00:00,9,112.7571849,9.251666666666667,51.74583333333334,116.7189326,112.64849916666667,0.7071067811865475,6,0.33,1.0,1.0,0.1,1.7076125000000002
2017-03-26 10:00:00,10,116.1315333,9.241666666666667,81.0425,112.7571849,115.20255026666666,0.8660254037844388,6,0.33,1.0,1.0,0.1,2.6744025000000007
2017-03-26 11:00:00,11,118.3688813,9.363333333333333,80.4875,116.1315333,115.75253316666665,0.9659258262890683,6,0.33,1.0,1.0,0.1,2.6560875
